序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元],cmplt_start_address,cmplt_ending_address
1,快车,03-28 23:14 周四,北京市,兴业大街|北京石油化工学院-北1门,观音寺小区25号楼,4.5,17.2,北京市兴业大街|北京石油化工学院-北1门,北京市观音寺小区25号楼
2,快车,03-31 15:21 周日,北京市,兴华大街|枣园东里-西区-南门,大兴区|康泰园,2.8,10.4,北京市兴华大街|枣园东里-西区-南门,北京市大兴区|康泰园
3,快车,03-31 19:48 周日,北京市,康庄路|康泰园-南门,兴业大街|北京石油化工学院-北1门,2.3,9.1,北京市康庄路|康泰园-南门,北京市兴业大街|北京石油化工学院-北1门
