序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元]
234,滴滴快车,07-13 14:17 周二,北京市,外馆东街23号院-西门,朝阳区|幸福二村小区34号院,7.1,29.61
235,滴滴快车,07-13 16:06 周二,北京市,幸福二村巷|幸福二村34号院-东南门,东城区王府井大街88号in881F层王府井银泰in88|北京王…,5.2,26.59
236,滴滴快车,07-13 20:29 周二,北京市,外馆东街23号院-西门,观音寺小区25号楼,32.73,84.42
237,滴滴快车,07-14 10:16 周三,北京市,观音寺-北门,枣园-地铁站,3.9,14.26
238,滴滴快车,07-14 11:45 周三,北京市,兴华大街|枣园地铁站B口,安贞|外馆东街23号院,29.3,67.54
239,滴滴快车,07-14 13:06 周三,北京市,安贞|安华里社区-西1门,工体|光彩国际公寓,8.49,16.71
240,滴滴快车,07-14 15:05 周三,北京市,朝外大街|北京工人体育场-南2门,观音寺小区25号楼,32.61,78.67
241,滴滴快车,07-16 12:20 周五,北京市,观音寺-北门,黄村西大街-地铁站,1.62,10.92
242,滴滴快车,07-16 13:38 周五,北京市,朝阳公园|枣营地铁站A口,朝阳公园|SOLANA蓝色港湾-东五门,0,4
243,滴滴快车,07-17 13:08 周六,北京市,君颐百合精品酒店(南地铁站店),观音寺小区25号楼,8.5,27.1
244,滴滴快车,07-20 11:42 周二,北京市,观音寺-北门,兴华大街|万龙洲海鲜(大兴店),4.7,15.38
245,滴滴专车,07-20 14:06 周二,北京市,绿地中央广场·兴贸中心-西门,地铁4号线大兴线枣园-地铁站|枣园地铁站D口,1.9,20.29
246,滴滴快车,07-20 20:49 周二,北京市,兴华大街|彩虹新城-西门对面,观音寺小区25号楼,7.2,26.63
247,滴滴快车,07-21 12:46 周三,北京市,观音寺-北门,黄村西大街-地铁站,2.1,13
248,滴滴快车,07-22 20:31 周四,北京市,兴丰大街|绿地缤纷城北区(出入口),观音寺小区25号楼,7.89,27.6
249,滴滴快车,07-25 10:53 周日,北京市,观音寺-北门,枣园-地铁站,3.94,12.07
250,滴滴快车,07-28 12:48 周三,北京市,宣武门地铁站G口,枣园-地铁站,20,50.15
251,滴滴快车,07-28 14:31 周三,北京市,观音寺北里小区-西1门,海子角|北京市志诚公证处,1.2,13
252,滴滴快车,07-28 14:56 周三,北京市,黄马路|北京市志诚公证处,兴华大街|北京石油化工学院-南门,5.9,17.06
253,滴滴快车,07-28 17:31 周三,北京市,兴华大街|北京石油化工学院-南门,大兴区枣园巷2号|枣园尚城南区,2.2,14
254,滴滴快车,07-29 09:40 周四,北京市,观音寺-北门,兴华大街|北京石油化工学院-南门,3.7,15.15
255,滴滴快车,07-29 10:55 周四,北京市,兴华大街|北京石油化工学院-南门,观音寺小区25号楼,4.1,14.54
256,滴滴快车,07-29 12:33 周四,北京市,观音寺-北门,旧宫|明悦湾-南1门,12.6,32.94
257,滴滴快车,07-29 22:32 周四,北京市,西红门|鸿坤·理想城4期-南门,观音寺小区25号楼,8.5,32.88
258,滴滴快车,07-30 09:49 周五,北京市,观音寺-北门,海子角|北京市志诚公证处,1.1,14
259,滴滴快车,07-30 10:10 周五,北京市,黄马路|北京市志诚公证处,黄村|大兴大悦春风里,2.7,13
260,滴滴快车,07-30 20:44 周五,北京市,兴盛街189号院-东2门,观音寺小区25号楼,4.9,17.14
261,滴滴快车,07-31 17:10 周六,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.3,14.99
262,滴滴快车,08-02 11:46 周一,北京市,兴华大街|枣园尚城南区-南门,东大桥|北京侨福芳草地,32.2,78.48
263,滴滴快车,08-02 14:41 周一,北京市,北京侨福芳草地内-上车点,观音寺小区25号楼,30.4,75.23
264,滴滴快车,08-02 19:51 周一,北京市,观音寺|丽枫酒店-东1门,大兴区|兴盛街189号院-东2门,6.2,22.48
265,滴滴快车,08-07 10:33 周六,北京市,观音寺-北门,大兴区枣园东里38|翰皇hanor(康庄路店),4.5,15.3
266,滴滴快车,08-07 10:56 周六,北京市,兴华大街|首邑上城-北2门,北京荟聚中心(西红门店),4.2,14.84
267,滴滴快车,08-07 18:53 周六,北京市,兴华大街|咖啡一色东侧-上车点,观音寺小区25号楼,2.2,13
268,滴滴快车,08-09 16:18 周一,北京市,观音寺-北门,荟聚·西红门购物中心-东北门,10.7,29.78
269,滴滴快车,08-10 09:56 周二,北京市,观音寺-北门,大兴区兴盛街与枣园路交叉口南 150米兴盛街189号院|兴盛街1…,4.9,15.25
270,滴滴快车,08-12 15:22 周四,北京市,观音寺-北门,兴华大街|全季酒店(北京大兴绿地缤纷城店),8.3,25.92
271,滴滴快车,08-12 19:55 周四,北京市,兴华大街|全季酒店(北京大兴绿地缤纷城店)东北侧-上车点,大兴区|兴盛街189号院-东2门,3.11,14.47
272,滴滴快车,08-13 20:13 周五,北京市,黄村|火神庙-北门,观音寺小区25号楼,10.03,35.71
273,滴滴快车,08-15 10:37 周日,北京市,大兴区.南湖巷|观音寺-北门,兴华大街|枣园尚城南区-北门,4.61,13.48
274,滴滴快车,08-16 17:58 周一,北京市,观音寺-北门,兴华大街|万龙洲海鲜(大兴店),4.9,15.46
275,滴滴快车,08-17 18:19 周二,北京市,景华南街|汉威大厦-北2门对面,兴华大街|桔子酒店(北京黄村高米店北地铁站店),0,4
276,滴滴快车,08-18 07:23 周三,北京市,北京千禧大酒店-正门,北京市大兴区观音寺25号楼|观音寺小区25号楼,36.1,101.73
277,滴滴快车,08-18 15:05 周三,北京市,观音寺-北门,兴华大街|枣园尚城南区-北门,4.5,15.1
278,滴滴快车,08-18 15:45 周三,北京市,兴华大街|枣园尚城南区-东门,右安门|首都医科大学附属北京佑安医院-西1门,17.26,35.42
279,滴滴快车,08-18 18:56 周三,北京市,北京龙湖大兴天街-东南门,大兴区|兴盛街189号院-东2门,7.7,27.36
280,滴滴快车,08-18 20:09 周三,北京市,兴盛街189号院-东2门,兴业大街|红木林小区北区-南门,1.01,11.76
