序号,车型,上车时间,城 市,起点,终点,里程 [公里],金额 [元]
50,快车,06-16 18:04 周日,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4,14.05
51,快车,06-16 19:42 周日,北京市,兴华大街|彩虹新城商铺,大兴区|康泰园,3.6,11.44
52,快车,06-16 23:41 周日,北京市,兴华园-公交站路西,观音寺小区25号楼,3.9,14.29
53,快车,06-22 16:26 周六,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.4,13
54,快车,06-23 21:21 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,26.92
55,快车,06-24 17:30 周一,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,5.4,23.04
56,快车,06-25 15:11 周二,北京市,兴华大街|北京石油化工学院-北2门,大兴区|康泰园,2.2,13
57,快车,06-25 21:00 周二,北京市,兴华大街|枣园地铁站D西南口,大兴区|康泰园,2.5,13
58,快车,06-25 22:01 周二,北京市,"兴业大街|中国工商银行(丽园路支行
)对面",大兴区|康泰园,2.6,13
59,快车,06-26 10:57 周三,北京市,鑫手勺东北菜(康庄路店),兴业大街|北京石油化工学院-北1门,2.3,13
60,快车,06-26 16:12 周三,北京市,兴华大街|北京石油化工学院-北2门,观音寺小区25号楼,4.4,14.04
61,快车,07-14 18:17 周日,北京市,观音寺-北门,大兴区|康泰园,6.2,18.39
62,快车,07-15 12:06 周一,北京市,康庄路|康泰园-南门,观音寺小区25号楼,6.3,19.62
63,快车,07-15 14:49 周一,北京市,观音寺-北门,枣园-地铁站,6.3,24.12
64,快车,07-24 13:14 周三,北京市,当前位置,枣园-地铁站,4.1,15.04
65,快车,07-24 18:56 周三,北京市,当前位置,兴华大街|咖啡一色(石化学院丽园小区东南),3.5,16.43
66,快车,07-25 17:00 周四,北京市,当前位置,大兴区|康泰园,6.2,24.88
67,快车,07-26 08:12 周五,北京市,当前位置,滨河|大兴二中站自行车租赁点,2.6,14
68,快车,07-27 15:52 周六,北京市,当前位置,大兴区|东方乐巢KTV,2.4,13
69,快车,07-27 18:02 周六,北京市,当前位置,观音寺小区25号楼,2.3,11.44
70,快车,07-30 10:47 周二,北京市,当前位置,清源|核工业管理干部学院,2,13
71,快车,07-30 15:32 周二,北京市,当前位置,兴华大街|咖啡一色(石化学院丽园小区东南),2.2,10.4
72,快车,08-01 09:58 周四,北京市,当前位置,大兴区|康泰园,6.2,22.48
73,快车,08-03 12:24 周六,北京市,当前位置,黄村西大街-地铁站,1.7,13
74,快车,08-04 12:34 周日,北京市,当前位置,大兴区|恒源农家院(二店),4.2,15.11
75,快车,08-04 16:29 周日,北京市,当前位置,兴华大街|北京印刷学院,3,13
76,快车,08-04 17:19 周日,北京市,当前位置,大兴区|康泰园,3.2,13.31
77,快车,08-05 20:14 周一,北京市,当前位置,观音寺小区25号楼,8.1,27.21
78,快车,08-06 19:40 周二,北京市,当前位置,兴华大街|布尔专业宠物养护中心,3.6,14.99
79,快车,08-06 21:44 周二,北京市,当前位置,观音寺小区25号楼,4.2,18
80,快车,08-07 11:38 周三,北京市,当前位置,兴华大街|北京石油化工学院-北2门,4.7,15.88
81,快车,08-07 12:11 周三,北京市,当前位置,黄村|川府老妈菜馆,3.8,12.99
82,快车,08-07 22:39 周三,北京市,当前位置,崇文门-地铁站,0.1,14.08
83,快车,08-09 16:17 周五,北京市,当前位置,兴华大街|北京小学大兴分校,3,13
84,快车,08-09 16:54 周五,北京市,当前位置,大兴区|天键广场,2.6,13
85,快车,08-09 19:11 周五,北京市,枣园路|大兴区第十幼儿园-南门,兴华大街|北京市大兴区枣园小学-北门,0.9,14
86,快车,08-15 12:15 周四,北京市,观音寺-北门,枣园-地铁站,4.3,14.82
87,快车,08-16 15:23 周五,北京市,观音寺-北门,大兴区|康泰园,6.2,21.98
88,快车,08-17 20:53 周六,北京市,途美酒店(北京黄村西大街店)对面,兴业大街|北京石油化工学院-北1门,4.4,15.97
89,快车,08-17 21:26 周六,北京市,兴业大街|中国工商银行(丽园路支行),观音寺小区25号楼,4.7,18.42
90,快车,08-18 15:08 周日,北京市,观音寺-北门,枣园-地铁站,4,14.53
91,快车,08-19 16:43 周一,北京市,观音寺-北门,兴业大街|北京石油化工学院-北1门,4.7,15.38
92,快车,08-21 10:18 周三,北京市,观音寺-北门,枣园-地铁站,4.3,14.82
